text,neg,neu,pos,compound
"Ми посміхалися, дивлячись на захід сонця.",0.09388092160224915,0.4355852007865906,0.47053396701812744,0.3766530454158783
Цей жарт викликав у всіх напад сміху.,0.09819074720144272,0.18095670640468597,0.7208525538444519,0.6226618066430092
Вона обійняла сина після повернення.,0.5663132667541504,0.38876423239707947,0.044922515749931335,0.521390751004219
Мене похвалили за старанну роботу.,0.050080977380275726,0.11369993537664413,0.836219072341919,0.7861380949616432
Вона відчувала натхнення під час розмови.,0.05657082423567772,0.3774864375591278,0.5659427046775818,0.5093718804419041
Це рішення дало мені надію.,0.05295417457818985,0.1413368284702301,0.8057090044021606,0.7527548298239708
"Голос у неї, як у сирени, чарівний і дзвінкий.",0.03551390394568443,0.2540420591831207,0.7104440331459045,0.6749301292002201
Це був прояв невимовної щедрості.,0.06763520836830139,0.09969892352819443,0.8326658606529236,0.7650306522846222
Він прийняв похвалу з гідністю.,0.08540236204862595,0.280328631401062,0.6342689990997314,0.5488666370511055
Ми були захоплені живою вуличною музикою.,0.0957057848572731,0.44258779287338257,0.46170637011528015,0.36600058525800705
Наш успіх був результатом плідної праці.,0.03326338529586792,0.2071879357099533,0.7595487236976624,0.7262853384017944
"Він відчув полегшення, отримавши довгоочікувану відповідь.",0.05368032306432724,0.32069286704063416,0.625626802444458,0.5719464793801308
Цей вибух позитивних емоцій був викликаний її подарунком.,0.07040944695472717,0.3744974434375763,0.5550931096076965,0.48468366265296936
Мною отримана нагорода за видатні досягнення.,0.023058123886585236,0.0823260098695755,0.8946158289909363,0.871557705104351
Щира вдячність читалася у її очах.,0.06451552361249924,0.1257922500371933,0.8096922636032104,0.7451767399907112
Друзі пригощалися соковитим гранатом.,0.19188007712364197,0.4764914810657501,0.3316284418106079,0.13974836468696594
Він випив залпом майже весь захололий чай.,0.5307207107543945,0.37262558937072754,0.09665364772081375,0.4340670630335808
Колона серед музею привертала до себе увагу.,0.11034039407968521,0.3198225796222687,0.5698369741439819,0.4594965800642967
Ми намагалися підтримувати здоровий режим дня.,0.08898124098777771,0.456662654876709,0.4543560743331909,0.3653748333454132
До підготовки випускного залучили усіх учнів старших класів.,0.26688092947006226,0.6597327589988708,0.0733863115310669,0.19349461793899536
Нам варто враховувати всі можливі нюанси.,0.13475698232650757,0.6613204479217529,0.2039225697517395,0.06916558742523193
Ця програма працює автоматично після оптимізації.,0.027812503278255463,0.684842050075531,0.2873455286026001,0.25953302532434464
"Ми вкрилися ковдрами, готуючись до сну.",0.3377595543861389,0.5035175085067749,0.15872295200824738,0.17903660237789154
Вони мають цілий арсенал ідей для цього проєкту.,0.11112281680107117,0.4732038676738739,0.4156733751296997,0.30455055832862854
Діти підготували танок до зимового свята.,0.033773161470890045,0.5326058864593506,0.43362095952033997,0.3998477980494499
База фундаментальних знань була отримана нею в університеті.,0.06759350001811981,0.7963716387748718,0.13603489100933075,0.06844139099121094
На ці сирники у їдальні стояла черга.,0.4916437864303589,0.4246642291545868,0.08369205892086029,0.4079517275094986
Вони сіли за стіл.,0.19479988515377045,0.7252053022384644,0.07999477535486221,0.11480510979890823
Їх команда взяла участь у спортивних змаганнях.,0.026645375415682793,0.6916965246200562,0.2816580533981323,0.25501267798244953
Його ціллю було отримання вищої освіти.,0.10253303498029709,0.6966164708137512,0.2008504718542099,0.09831743687391281
Наші сусіди чистили квартиру після ремонту.,0.043114639818668365,0.7297301292419434,0.22715528309345245,0.1840406432747841
Трава вже виднілася з-під шару снігу.,0.33070945739746094,0.5379816293716431,0.1313089281320572,0.19940052926540375
Він стояв на стартовій лінії та був готовий до бігу.,0.08332641422748566,0.776134192943573,0.14053936302661896,0.0572129487991333
Його охопив жах від побаченого.,0.8203920722007751,0.12689651548862457,0.05271144211292267,0.7676806300878525
Вона дала своїй доньці ляпаса.,0.32253652811050415,0.5486360192298889,0.12882746756076813,0.19370906054973602
Після покарання він не виходив з кімнати.,0.3906789720058441,0.5288834571838379,0.08043762296438217,0.31024134904146194
Дівчина завмерла від пронизливого болю.,0.8358837962150574,0.12555889785289764,0.03855730593204498,0.7973264902830124
Раптовий вибух не давав йому оговтатись.,0.7047736644744873,0.24816454946994781,0.047061819583177567,0.6577118448913097
Галас вмить здійнявся серед людей.,0.3440284729003906,0.5282660126686096,0.12770548462867737,0.21632298827171326
Куля пролетіла поруч з моїм вухом.,0.1842639446258545,0.4791916310787201,0.33654436469078064,0.15228042006492615
Побачений мною будинок зруйнувався за секунди.,0.9020556807518005,0.078463114798069,0.01948121376335621,0.8825744669884443
Ми  відчули загрозу у тиші.,0.748343288898468,0.20812416076660156,0.043532516807317734,0.7048107720911503
Крик дитини змусив її зупинитися.,0.4893685579299927,0.434793084859848,0.0758383721113205,0.4135301858186722
Він зник після останнього завдання.,0.5501631498336792,0.4110637903213501,0.03877309709787369,0.5113900527358055
